WeatherKey,WeatherDate,AverageHumidity,AveragePressure,AverageTemperature,AverageWindSpeed,TemperatureRangeName,HumidityLevelName,PressureLevelName,WindLevelName,WeatherComfortLevel,OverallWeatherDescription,ComfortLevel,CreateTimeStamp,SourceSystemCode,SourceFolder
1,2014-07-01,77.291666666666671,1010.875,295.25050456341796,4.625,Warm,Medium,Normal Pressure,Light Wind,Comfortable,Mild and Damp,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
2,2014-07-02,69.208333333333329,1011.6666666666666,293.25071095858937,4.333333333333333,Warm,Medium,Normal Pressure,Light Wind,Comfortable,Mild and Damp,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
3,2014-07-03,72.833333333333329,1020.4166666666666,290.601828522169,3.0833333333333335,Cool,Medium,Normal Pressure,Light Wind,Comfortable,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
4,2014-07-04,53.625,1026.3333333333333,293.14646652191783,2.875,Cool,Medium,High Pressure,Light Wind,Comfortable,Variable,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
5,2014-07-05,54.625,1025.0416666666667,294.13239771775494,3.4166666666666665,Warm,Medium,High Pressure,Light Wind,Comfortable,Mild and Damp,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
6,2014-07-06,66.666666666666671,1014.5,296.60583333334108,4.666666666666667,Warm,Medium,Normal Pressure,Light Wind,Comfortable,Mild and Damp,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
7,2014-07-07,67.958333333333329,1006.8333333333334,299.84041666667281,5.083333333333333,Warm,Medium,Normal Pressure,Moderate Wind,Comfortable,Mild and Damp,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
8,2014-07-08,63.041666666666664,1004.9583333333334,298.19103677392258,4.75,Warm,Medium,Normal Pressure,Light Wind,Comfortable,Mild and Damp,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
9,2014-07-09,58.833333333333336,1012.0416666666666,295.6075000000078,3.125,Warm,Medium,Normal Pressure,Light Wind,Comfortable,Mild and Damp,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
10,2014-07-10,66.333333333333329,1019.7083333333334,293.81375000000446,2.8333333333333335,Warm,Medium,Normal Pressure,Light Wind,Comfortable,Mild and Damp,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
11,2014-07-11,51.25,1021.4583333333334,294.46893084438022,2.4166666666666665,Warm,Medium,Normal Pressure,Light Wind,Comfortable,Mild and Damp,Pleasant,2025-06-27 21:18:38.637000000,1,2017-09-30
